productCode,productName,size,color,mainImage,additionalImages,detailHtml,tagHtml
"DKF8SC03","로고블루토들중말 DKF8SC03_copy","14,16(발길이cm)","블루(상세페이지참조)","/home/moonsu/organic_scraper/images/DKF8SC03/main.jpg","/home/moonsu/organic_scraper/images/DKF8SC03/additional_1.jpg|/home/moonsu/organic_scraper/images/DKF8SC03/additional_2.jpg|/home/moonsu/organic_scraper/images/DKF8SC03/additional_3.jpg|/home/moonsu/organic_scraper/images/DKF8SC03/additional_4.jpg|/home/moonsu/organic_scraper/images/DKF8SC03/additional_5.jpg|/home/moonsu/organic_scraper/images/DKF8SC03/additional_6.jpg","<center>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC03-1.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC03-2.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC03-3.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC03-4.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC03-5.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC03-6.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC03-7.jpg"" /></p>
	<p>
		<img alt=""안전인증"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC03-100.gif"" /></p>
	<p>
		<img alt=""사이즈"" src=""https://kkm2524.diskn.com/dududodo/sc_size.gif"" /></p>
	<p>
		<img alt=""주의사항"" src=""https://kkm2524.diskn.com/dududodo/laundry_dd.gif"" /></p>
	<p>
		<img alt=""기타"" src=""https://kkm2524.diskn.com/dududodo/bottom.jpg"" /></p>
</center>","<center>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC03_t.jpg"" /></p>
</center>"
"DKF8SC04","핑크골지ST토들중말 DKF8SC04_copy","14,16(발길이cm)","핑크(상세페이지참조)","/home/moonsu/organic_scraper/images/DKF8SC04/main.jpg","/home/moonsu/organic_scraper/images/DKF8SC04/additional_1.jpg|/home/moonsu/organic_scraper/images/DKF8SC04/additional_2.jpg|/home/moonsu/organic_scraper/images/DKF8SC04/additional_3.jpg|/home/moonsu/organic_scraper/images/DKF8SC04/additional_4.jpg|/home/moonsu/organic_scraper/images/DKF8SC04/additional_5.jpg|/home/moonsu/organic_scraper/images/DKF8SC04/additional_6.jpg","<center>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC04-1.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC04-2.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC04-3.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC04-4.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC04-5.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC04-6.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC04-7.jpg"" /></p>
	<p>
		<img alt=""안전인증"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC04-100.gif"" /></p>
	<p>
		<img alt=""사이즈"" src=""https://kkm2524.diskn.com/dududodo/sc_size.gif"" /></p>
	<p>
		<img alt=""주의사항"" src=""https://kkm2524.diskn.com/dududodo/laundry_dd.gif"" /></p>
	<p>
		<img alt=""기타"" src=""https://kkm2524.diskn.com/dududodo/bottom.jpg"" /></p>
</center>","<center>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC04_t.jpg"" /></p>
</center>"
"DKF8SC05","블루골지ST토들중말 DKF8SC05_copy","14,16(발길이cm)","블루(상세페이지참조)","/home/moonsu/organic_scraper/images/DKF8SC05/main.jpg","/home/moonsu/organic_scraper/images/DKF8SC05/additional_1.jpg|/home/moonsu/organic_scraper/images/DKF8SC05/additional_2.jpg|/home/moonsu/organic_scraper/images/DKF8SC05/additional_3.jpg|/home/moonsu/organic_scraper/images/DKF8SC05/additional_4.jpg|/home/moonsu/organic_scraper/images/DKF8SC05/additional_5.jpg|/home/moonsu/organic_scraper/images/DKF8SC05/additional_6.jpg","<center>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC05-1.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC05-2.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC05-3.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC05-4.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC05-5.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC05-6.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC05-7.jpg"" /></p>
	<p>
		<img alt=""안전인증"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC05-100.gif"" /></p>
	<p>
		<img alt=""사이즈"" src=""https://kkm2524.diskn.com/dududodo/sc_size.gif"" /></p>
	<p>
		<img alt=""주의사항"" src=""https://kkm2524.diskn.com/dududodo/laundry_dd.gif"" /></p>
	<p>
		<img alt=""기타"" src=""https://kkm2524.diskn.com/dududodo/bottom.jpg"" /></p>
</center>","<center>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC05_t.jpg"" /></p>
</center>"
"DKF8SC06","리본도도토들장말 DKF8SC06_copy","14,16(발길이cm)","핑크(상세페이지참조)","/home/moonsu/organic_scraper/images/DKF8SC06/main.jpg","/home/moonsu/organic_scraper/images/DKF8SC06/additional_1.jpg|/home/moonsu/organic_scraper/images/DKF8SC06/additional_2.jpg|/home/moonsu/organic_scraper/images/DKF8SC06/additional_3.jpg|/home/moonsu/organic_scraper/images/DKF8SC06/additional_4.jpg|/home/moonsu/organic_scraper/images/DKF8SC06/additional_5.jpg|/home/moonsu/organic_scraper/images/DKF8SC06/additional_6.jpg","<center>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC06-1.jpg"" /></p>
 <p>
  <img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC06-1-1.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC06-2.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC06-3.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC06-4.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC06-5.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC06-6.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC06-7.jpg"" /></p>
	<p>
		<img alt=""안전인증"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC06-100.gif"" /></p>
	<p>
		<img alt=""사이즈"" src=""https://kkm2524.diskn.com/dududodo/sc_size.gif"" /></p>
	<p>
		<img alt=""주의사항"" src=""https://kkm2524.diskn.com/dududodo/laundry_dd.gif"" /></p>
	<p>
		<img alt=""기타"" src=""https://kkm2524.diskn.com/dududodo/bottom.jpg"" /></p>
</center>","<center>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC06_t.jpg"" /></p>
</center>"
"DKF8SC08","튤립토들중말 DKF8SC08_copy","14,16(발길이cm)","핑크(상세페이지참조)","/home/moonsu/organic_scraper/images/DKF8SC08/main.jpg","/home/moonsu/organic_scraper/images/DKF8SC08/additional_1.jpg|/home/moonsu/organic_scraper/images/DKF8SC08/additional_2.jpg|/home/moonsu/organic_scraper/images/DKF8SC08/additional_3.jpg|/home/moonsu/organic_scraper/images/DKF8SC08/additional_4.jpg|/home/moonsu/organic_scraper/images/DKF8SC08/additional_5.jpg|/home/moonsu/organic_scraper/images/DKF8SC08/additional_6.jpg","<center>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC08-1.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC08-1-1.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC08-2.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC08-3.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC08-4.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC08-5.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC08-6.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC08-7.jpg"" /></p>
	<p>
		<img alt=""안전인증"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC08-100.gif"" /></p>
	<p>
		<img alt=""사이즈"" src=""https://kkm2524.diskn.com/dududodo/sc_size.gif"" /></p>
	<p>
		<img alt=""주의사항"" src=""https://kkm2524.diskn.com/dududodo/laundry_dd.gif"" /></p>
	<p>
		<img alt=""기타"" src=""https://kkm2524.diskn.com/dududodo/bottom.jpg"" /></p>
</center>","<center>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC08_t.jpg"" /></p>
</center>"
"DKF8SC09","오시토토들중말 DKF8SC09_copy","14,16(발길이cm)","크림(상세페이지참조)","/home/moonsu/organic_scraper/images/DKF8SC09/main.jpg","/home/moonsu/organic_scraper/images/DKF8SC09/additional_1.jpg|/home/moonsu/organic_scraper/images/DKF8SC09/additional_2.jpg|/home/moonsu/organic_scraper/images/DKF8SC09/additional_3.jpg|/home/moonsu/organic_scraper/images/DKF8SC09/additional_4.jpg|/home/moonsu/organic_scraper/images/DKF8SC09/additional_5.jpg|/home/moonsu/organic_scraper/images/DKF8SC09/additional_6.jpg","<center>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC09-1.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC09-2.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC09-3.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC09-4.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC09-5.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC09-6.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC09-7.jpg"" /></p>
	<p>
		<img alt=""안전인증"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC09-100.gif"" /></p>
	<p>
		<img alt=""사이즈"" src=""https://kkm2524.diskn.com/dududodo/sc_size.gif"" /></p>
	<p>
		<img alt=""주의사항"" src=""https://kkm2524.diskn.com/dududodo/laundry_dd.gif"" /></p>
	<p>
		<img alt=""기타"" src=""https://kkm2524.diskn.com/dududodo/bottom.jpg"" /></p>
</center>","<center>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC09_t.jpg"" /></p>
</center>"
"DKF8SC10","라핀토들중말 DKF8SC10_copy","14,16(발길이cm)","핑크(상세페이지참조)","/home/moonsu/organic_scraper/images/DKF8SC10/main.jpg","/home/moonsu/organic_scraper/images/DKF8SC10/additional_1.jpg|/home/moonsu/organic_scraper/images/DKF8SC10/additional_2.jpg|/home/moonsu/organic_scraper/images/DKF8SC10/additional_3.jpg|/home/moonsu/organic_scraper/images/DKF8SC10/additional_4.jpg|/home/moonsu/organic_scraper/images/DKF8SC10/additional_5.jpg|/home/moonsu/organic_scraper/images/DKF8SC10/additional_6.jpg","<center>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC10-1.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC10-2.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC10-3.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC10-4.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC10-5.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC10-6.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC10-7.jpg"" /></p>
	<p>
		<img alt=""안전인증"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC10-100.gif"" /></p>
	<p>
		<img alt=""사이즈"" src=""https://kkm2524.diskn.com/dududodo/sc_size.gif"" /></p>
	<p>
		<img alt=""주의사항"" src=""https://kkm2524.diskn.com/dududodo/laundry_dd.gif"" /></p>
	<p>
		<img alt=""기타"" src=""https://kkm2524.diskn.com/dududodo/bottom.jpg"" /></p>
</center>","<center>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC10_t.jpg"" /></p>
</center>"
"DKF8SC11","로고핑크토들중말 DKF8SC11_copy","14,16(발길이cm)","핑크(상세페이지참조)","/home/moonsu/organic_scraper/images/DKF8SC11/main.jpg","/home/moonsu/organic_scraper/images/DKF8SC11/additional_1.jpg|/home/moonsu/organic_scraper/images/DKF8SC11/additional_2.jpg|/home/moonsu/organic_scraper/images/DKF8SC11/additional_3.jpg|/home/moonsu/organic_scraper/images/DKF8SC11/additional_4.jpg|/home/moonsu/organic_scraper/images/DKF8SC11/additional_5.jpg|/home/moonsu/organic_scraper/images/DKF8SC11/additional_6.jpg","<center>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC11-1.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC11-2.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC11-3.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC11-4.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC11-5.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC11-6.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC11-7.jpg"" /></p>
	<p>
		<img alt=""안전인증"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC11-100.gif"" /></p>
	<p>
		<img alt=""사이즈"" src=""https://kkm2524.diskn.com/dududodo/sc_size.gif"" /></p>
	<p>
		<img alt=""주의사항"" src=""https://kkm2524.diskn.com/dududodo/laundry_dd.gif"" /></p>
	<p>
		<img alt=""기타"" src=""https://kkm2524.diskn.com/dududodo/bottom.jpg"" /></p>
</center>","<center>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8SC11_t.jpg"" /></p>
</center>"
"DKF8TZ01","리본토들타이즈 DKF8TZ01_copy","14,16 / 200g내외","크림(상세페이지참조)","/home/moonsu/organic_scraper/images/DKF8TZ01/main.jpg","/home/moonsu/organic_scraper/images/DKF8TZ01/additional_1.jpg|/home/moonsu/organic_scraper/images/DKF8TZ01/additional_2.jpg|/home/moonsu/organic_scraper/images/DKF8TZ01/additional_3.jpg|/home/moonsu/organic_scraper/images/DKF8TZ01/additional_4.jpg|/home/moonsu/organic_scraper/images/DKF8TZ01/additional_5.jpg","<center>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8TZ01-1.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8TZ01-2.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8TZ01-3.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8TZ01-4.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8TZ01-5.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8TZ01-6.jpg"" /></p>
	<p>
		<img alt=""안전인증"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8TZ01-100.gif"" /></p>
	<p>
		<img alt=""사이즈"" src=""https://kkm2524.diskn.com/dududodo/sc_size.gif"" /></p>
	<p>
		<img alt=""주의사항"" src=""https://kkm2524.diskn.com/dududodo/laundry_dd.gif"" /></p>
	<p>
		<img alt=""기타"" src=""https://kkm2524.diskn.com/dududodo/bottom.jpg"" /></p>
</center>","<center>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKF8TZ01_t.jpg"" /></p>
</center>"
"DKFTJP01","카키워크웨어토들자켓 DKFTJP01_copy","2Y,3Y,4Y / 200g내외","카키(상세페이지참조)","/home/moonsu/organic_scraper/images/DKFTJP01/main.jpg","/home/moonsu/organic_scraper/images/DKFTJP01/additional_1.jpg|/home/moonsu/organic_scraper/images/DKFTJP01/additional_2.jpg|/home/moonsu/organic_scraper/images/DKFTJP01/additional_3.jpg|/home/moonsu/organic_scraper/images/DKFTJP01/additional_4.jpg|/home/moonsu/organic_scraper/images/DKFTJP01/additional_5.jpg|/home/moonsu/organic_scraper/images/DKFTJP01/additional_6.jpg|/home/moonsu/organic_scraper/images/DKFTJP01/additional_7.jpg","<center>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKFTJP01-1.jpg"" /></p>
 <p>
  <img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKFTJP01-1-1.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKFTJP01-2.jpg"" /></p>
 <p>
  <img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKFTJP01-2-1.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKFTJP01-3.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKFTJP01-4.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKFTJP01-5.jpg"" /></p>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKFTJP01-6.jpg"" /></p>
	<p>
		<img alt=""안전인증"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKFTJP01-100.gif"" /></p>
	<p>
		<img alt=""사이즈"" src=""https://kkm2524.diskn.com/dududodo/dd_size.gif"" /></p>
	<p>
		<img alt=""주의사항"" src=""https://kkm2524.diskn.com/dududodo/laundry_dd.gif"" /></p>
	<p>
		<img alt=""기타"" src=""https://kkm2524.diskn.com/dududodo/bottom.jpg"" /></p>
</center>","<center>
	<p>
		<img alt=""상세이미지"" src=""https://kkm2524.diskn.com/dududodo/2025/F/DKFTJP01_t.jpg"" /></p>
</center>"
